id,name,iconUrl,ncaaUrl
bryant,Bryant University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bryant.svg,https://www.ncaa.com/schools/bryant
bryn-athyn,Bryn Athyn College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bryn-athyn.svg,https://www.ncaa.com/schools/bryn-athyn
bryn-mawr,Bryn Mawr College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bryn-mawr.svg,https://www.ncaa.com/schools/bryn-mawr
bucknell,Bucknell University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bucknell.svg,https://www.ncaa.com/schools/bucknell
buena-vista,Buena Vista University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/buena-vista.svg,https://www.ncaa.com/schools/buena-vista
buffalo,University at Buffalo,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/buffalo.svg,https://www.ncaa.com/schools/buffalo
buffalo-st,Buffalo State College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/buffalo-st.svg,https://www.ncaa.com/schools/buffalo-st
butler,Butler University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/butler.svg,https://www.ncaa.com/schools/butler
byu,Brigham Young University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/byu.svg,https://www.ncaa.com/schools/byu
byu-hawaii,BYU-Hawaii,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/byu-hawaii.svg,https://www.ncaa.com/schools/byu-hawaii
cabrini,Cabrini University ,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cabrini.svg,https://www.ncaa.com/schools/cabrini
cairn,Cairn University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cairn.svg,https://www.ncaa.com/schools/cairn
cal-lutheran,California Lutheran University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-lutheran.svg,https://www.ncaa.com/schools/cal-lutheran
cal-poly,Cal Poly,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-poly.svg,https://www.ncaa.com/schools/cal-poly
cal-poly-pomona,Cal Poly-Pomona,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-poly-pomona.svg,https://www.ncaa.com/schools/cal-poly-pomona
cal-st-dom-hills,Cal State-Dominguez Hills,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-dom-hills.svg,https://www.ncaa.com/schools/cal-st-dom-hills
cal-st-east-bay,Cal State-East Bay,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-east-bay.svg,https://www.ncaa.com/schools/cal-st-east-bay
cal-st-fullerton,Cal State-Fullerton,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-fullerton.svg,https://www.ncaa.com/schools/cal-st-fullerton
cal-st-la,Cal State-Los Angeles,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-la.svg,https://www.ncaa.com/schools/cal-st-la
cal-st-monterey-bay,Cal State-Monterey Bay,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-monterey-bay.svg,https://www.ncaa.com/schools/cal-st-monterey-bay
cal-st-northridge,Cal State-Northridge,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-northridge.svg,https://www.ncaa.com/schools/cal-st-northridge
cal-st-san-bdino,Cal State-San Bernardino,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-san-bdino.svg,https://www.ncaa.com/schools/cal-st-san-bdino
cal-st-san-marcos,,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-san-marcos.svg,https://www.ncaa.com/schools/cal-st-san-marcos
cal-st-stanislaus,Cal State-Stanislaus,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cal-st-stanislaus.svg,https://www.ncaa.com/schools/cal-st-stanislaus
caldwell,Caldwell University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/caldwell.svg,https://www.ncaa.com/schools/caldwell
california,University of California,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/california.svg,https://www.ncaa.com/schools/california
california-baptist,California Baptist University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/california-baptist.svg,https://www.ncaa.com/schools/california-baptist
california-pa,California University of Pennsylvania,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/california-pa.svg,https://www.ncaa.com/schools/california-pa
caltech,California Institute of Technology,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/caltech.svg,https://www.ncaa.com/schools/caltech
calvin,Calvin College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/calvin.svg,https://www.ncaa.com/schools/calvin
cameron,Cameron University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/cameron.svg,https://www.ncaa.com/schools/cameron
campbell,Campbell University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/campbell.svg,https://www.ncaa.com/schools/campbell
canisius,Canisius College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/canisius.svg,https://www.ncaa.com/schools/canisius
capital,Capital University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/capital.svg,https://www.ncaa.com/schools/capital
carleton,Carleton College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/carleton.svg,https://www.ncaa.com/schools/carleton
carnegie-mellon,Carnegie Mellon University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/carnegie-mellon.svg,https://www.ncaa.com/schools/carnegie-mellon
